City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Lincoln,AU,-34.7333,135.8667,65.17,87,100,9.22,moderate rain
79,Oranienburg,DE,52.75,13.2333,44.06,70,26,4.63,scattered clouds
80,Sur,OM,22.5667,59.5289,86.05,40,0,5.66,clear sky
81,Pisco,PE,-13.7,-76.2167,68.05,73,0,24.16,clear sky
82,Taitung,TW,22.7583,121.1444,68.27,68,75,6.91,broken clouds
83,Lloydminster,CA,53.2835,-110.0016,28.62,86,75,8.05,broken clouds
84,Esperance,AU,-33.8667,121.9,58.84,74,80,13.18,broken clouds
85,Babstovo,RU,48.1167,132.4833,38.01,66,15,14.43,few clouds
86,Chihuahua,MX,28.5,-106.0,85.96,5,97,2.3,overcast clouds
87,Kangaatsiaq,GL,68.3065,-53.4641,1.31,95,74,5.32,broken clouds
88,Vao,NC,-22.6667,167.4833,76.6,70,0,8.03,clear sky
89,Tautira,PF,-17.7333,-149.15,80.08,75,15,10.96,light rain
90,Northam,GB,51.0333,-4.2167,54.61,57,99,8.99,overcast clouds
91,Funza,CO,4.7164,-74.212,59.04,77,75,6.91,thunderstorm
92,Gulbarga,IN,17.3333,76.8333,85.66,48,100,11.61,overcast clouds
93,San Patricio,US,28.017,-97.5169,89.69,65,94,14.67,overcast clouds
94,Klaksvik,FO,62.2266,-6.589,47.32,95,100,21.34,overcast clouds
95,Juneau,US,58.3019,-134.4197,43.21,67,100,0.83,overcast clouds
96,Havelock,US,34.8791,-76.9013,71.98,87,100,9.22,overcast clouds
97,Hay River,CA,60.8156,-115.7999,10.38,61,75,13.8,broken clouds
98,Vestmannaeyjar,IS,63.4427,-20.2734,46.98,92,100,17.43,light rain
99,Kawalu,ID,-7.3817,108.2082,71.85,97,54,1.16,broken clouds
100,Atar,MR,20.5169,-13.0499,82.24,11,0,4.76,clear sky
101,Isangel,VU,-19.55,169.2667,84.09,68,12,5.32,few clouds
102,Llaillay,CL,-32.85,-70.9667,72.25,51,0,2.26,clear sky
103,Marzuq,YE,14.4,46.4667,70.43,41,0,4.99,clear sky
104,Hilo,US,19.7297,-155.09,74.28,93,100,6.91,moderate rain
105,Chapleau,CA,47.8405,-83.4034,28.49,50,75,6.91,broken clouds
106,Mabaruma,GY,8.2,-59.7833,74.86,91,75,4.94,broken clouds
107,Grindavik,IS,63.8424,-22.4338,46.87,93,75,16.11,broken clouds
108,Sneek,NL,53.033,5.6589,45.95,72,21,7.83,few clouds
109,Westport,US,41.1415,-73.3579,60.75,75,91,5.99,overcast clouds
110,Poronaysk,RU,49.2167,143.1167,33.22,81,100,11.3,overcast clouds
111,Ellensburg,US,46.9965,-120.5479,46.85,63,100,8.01,overcast clouds
112,Maralal,KE,1.0968,36.698,61.74,79,100,2.19,light rain
113,Victor Rosales,MX,22.95,-102.7,84.38,9,81,12.46,broken clouds
114,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,5.75,overcast clouds
115,Faanui,PF,-16.4833,-151.75,81.73,72,7,14.56,clear sky
116,Wagar,SD,16.1525,36.2032,85.08,39,65,7.63,broken clouds
117,Lebu,CL,-37.6167,-73.65,54.48,88,37,12.06,scattered clouds
118,Tasiilaq,GL,65.6145,-37.6368,35.29,97,100,12.5,light snow
119,Wahiawa,US,21.5028,-158.0236,75.52,77,100,8.05,overcast clouds
120,Kodiak,US,57.79,-152.4072,38.91,74,100,14.43,light rain
121,Kieta,PG,-6.2167,155.6333,82.8,75,100,2.39,light rain
122,Batticaloa,LK,7.7102,81.6924,79.07,87,66,6.58,broken clouds
123,Saint-Pierre,RE,-21.3393,55.4781,75.9,77,75,5.75,broken clouds
124,Fairbanks,US,64.8378,-147.7164,34.25,31,0,12.66,clear sky
125,Baruun-Urt,MN,46.6806,113.2792,38.48,49,41,6.64,scattered clouds
126,Chekhov,RU,55.1431,37.4711,35.85,86,100,13.62,light snow
127,Omboue,GA,-1.5746,9.2618,77.61,90,100,3.58,light rain
128,Richards Bay,ZA,-28.783,32.0377,63.37,88,100,5.95,light rain
129,Jevargi,IN,17.0167,76.7667,86.9,43,99,9.69,overcast clouds
130,Nouadhibou,MR,20.931,-17.0347,64.38,94,75,14.97,broken clouds
131,Saint-Denis,FR,48.9167,2.3333,57.15,59,0,9.22,clear sky
132,Bengkulu,ID,-3.8004,102.2655,76.6,88,100,3.67,overcast clouds
133,Maraba,BR,-5.3686,-49.1178,78.98,100,20,0.0,few clouds
134,Guozhen,CN,34.3659,107.359,48.07,79,100,3.51,overcast clouds
135,Thompson,CA,55.7435,-97.8558,26.76,39,75,5.75,broken clouds
136,Loyga,RU,61.0784,44.6075,23.13,97,15,2.82,few clouds
137,Tevaitoa,PF,-16.7833,-151.5,81.21,73,10,13.78,clear sky
138,Freeport,US,40.6576,-73.5832,60.03,73,75,8.99,broken clouds
139,Vorobyevka,RU,50.6451,40.9245,51.51,75,100,12.66,overcast clouds
140,Iralaya,HN,15.0,-83.2333,80.92,70,57,8.08,broken clouds
141,Dolzhanskaya,RU,46.6311,37.8039,48.85,78,100,8.9,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,82.9,66,65,6.71,broken clouds
143,Hollola,FI,61.05,25.4333,30.45,84,46,3.76,scattered clouds
144,Norman Wells,CA,65.282,-126.8329,15.84,38,20,3.44,few clouds
145,Dingle,PH,10.9995,122.6711,78.28,86,50,5.46,scattered clouds
146,Lamu,KE,-2.2717,40.902,81.39,79,99,12.53,overcast clouds
147,Vuktyl,RU,63.8567,57.3094,14.45,94,75,5.1,broken clouds
148,Tual,ID,-5.6667,132.75,83.77,73,100,4.14,light rain
149,Nanortalik,GL,60.1432,-45.2371,29.26,87,11,10.56,few clouds
150,Torbay,CA,47.6666,-52.7314,50.77,47,40,28.77,scattered clouds
151,Ketchikan,US,55.3422,-131.6461,44.58,39,26,4.41,scattered clouds
152,Narsaq,GL,60.9167,-46.05,28.51,84,5,3.74,clear sky
153,Kaliningrad,RU,54.7065,20.511,37.45,91,85,5.99,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,32.13,71,100,10.63,overcast clouds
155,Taksimo,RU,56.3444,114.8794,23.09,83,100,1.5,overcast clouds
156,Saquena,PE,-4.6667,-73.5167,76.86,91,58,1.59,broken clouds
157,Mae Ramat,TH,16.984,98.5166,74.19,90,12,0.49,few clouds
